CODIGOINT;ltMix;EAN;CODIGOUNI;DESCRICAO
7706919;S;7897147500110;UN;PRATO COPO MAIS 15CM 10UN
7706920;S;7891118015351;UN;BALA ARCOR BUTTER TOFFES CHOKO/TRUF 100G
7706922;S;7891118015375;UN;BALA ARCOR BUTTER TOFFES AMARGO 100GR
7706929;S;7898142863958;UN;CHOCOLATE ARCOR BRANCO COOKIES 80g
7706940;S;7891182016384;UN;TINT KOLESTON MARROM DOURADO 77
7706942;S;7891182016391;UN;TINT KOLESTON LOURO CLARO 80
7706943;S;7891182016292;UN;TINT KOLESTON LOURO CINZA 61
7706945;S;7756509000029;UN;CARREGADOR I2GO 1 SAIDA USB
7706946;S;7891350033083;UN;DESOD ADIDAS MASC ADIPOWER AERO 150ML
7706948;S;7892940000317;UN;DESOD ADIDAS MASC C&C SPORTENERGY 150ML
7706949;S;7892940000324;UN;DESOD ADIDAS MASC C&C DRYPOWER 150ML
7706950;S;7892940000010;UN;DESOD ADIDAS FEM C&C CONTROL AERO 150ML
7706952;S;7892940000034;UN;DESOD ADIDAS FEM C&C FRESH AERO 150ML
7706953;S;7891350033076;UN;DESOD ADIDAS FEM ANDIPOWE AERO 150ML
7706955;S;7898919412273;UN;HIDRATANTE PAIXAO TENTADORA 400ML
7706957;S;7898919412303;UN;HIDRATANTE MONANGE INTENSE P SECA 400ML
7706958;S;7898919412297;UN;HIDRATANTE MONANGE FRUTAS VERM 400ML
7706960;S;7896466203207;UN;OVO ROMA MAGIA DE PASCOA 150G
7706964;S;7898919411931;UN;OLEO AMENDOAS PAIXAO TENTADORA 100ML
7706965;S;7898919411924;UN;OLEO AMENDOAS PAIXAO MACADAMIA 100ML
7706966;S;7891182023139;UN;ESMALTE RISQUE ORQ FORTALECEDORA 8ML
7706968;S;7891182860116;UN;ESMALTE RISQUE CINTILANTE CRISTAL 8ML
7706969;S;7891182840095;UN;ESMALTE RISQUE CREMOSO ALFAZ ASTRAL 8ML
7706979;S;7891182015806;UN;ESMALTE RISQUE CREMOSO AMAZONA PODER 8ML
7706983;S;7891182015899;UN;ESMALTE RISQUE CREMOSO CHOQUE PINK 8ML
7706988;S;7891182020190;UN;ESMALTE RISQUE METALICO PRATEADA 8ML
7707008;S;7898461965265;UN;SANDUICHEIRA BLACK 750W UN
7707009;S;0000078938601;UN;REFRIGERANTE SPRITE SA MINI PET200ML
7707012;S;0000078936478;UN;REFRIGERANTE FANTA LARANJA MINI PET 200M
7707013;S;0000078937765;UN;REFRIGERANTE FANTA GUARANA MINI PET 200M
7707030;S;7809625201389;UN;VINHO TRIPANTU CARMENERE 750ML
7707031;S;7809625201549;UN;VINHO TRIPANTU MERLOT 750 ML
7707033;S;7809625201419;UN;VINHO TRIPANTU RES CABERN SUAVIG 750 ML
7707034;S;7809625201426;UN;VINHO TRIPANTU RES CARMENERE 750ml
7707041;S;7898164030123;UN;PAO FELMANN HAMBURGUER C/GERGELIN 200GR
7707043;S;7898164030130;UN;PAO FELMANN HOT DOG 250GR
7707051;S;7896943246338;UN;MANTA PANOSUL QUEEN AZUL/SIENA
7707067;S;7894650007563;UN;CERA LIQ BRAVO FLASH INCOLOR 750ML
7707072;S;7891023542256;UN;GARRAFA TERMICA TERMOLAR VERMELHA 1,8L
7707076;S;7891150038271;UN;CONJ DOVE SH COND RECONSTRUCAO 600ML
7707077;S;7891150038189;UN;CONJ DOVE SH COND NUTRICAO 600ML
7707078;S;7891150053595;UN;CONJ DOVE SH COND RITUAL REP 600ML
7707083;S;7896233700755;UN;PAPEL HIG SULINO 60MT C/4 UN
7707093;S;7891150054653;UN;DESOD REXONA ERVA DOCE AERO 90GR
7707097;S;7791293033242;UN;DESOD DOVE POWDER SOF AERO 89g
7707098;S;0000078935068;UN;DESOD DOVE ROMA ROLLON 50ML
7707100;S;7791293036052;UN;DESOD REXONA BCS E LICHIA 90G
7707119;S;7509546077222;UN;CREME DENTAL COLG TOT12 SAUDE VISIV 70GR
7707124;S;7896030800153;UN;PRATO COPOBRAS 15CM UN
7707125;S;7896030800214;UN;PRATO COPOBRAS 21CM UN
7707127;S;7896030892684;UN;COPO COPOBRAS 300ML UN
7707128;S;7896030892660;UN;COPO COPOBRAS 200ML UN
7707139;S;7896419724599;UN;ERVILHA LAR CONG 300GR
7707142;S;7898341430142;UN;SUCO DELVALLE NUTRI PESSEGO 200ML
7707143;S;7898924084069;UN;MASSA BAUERMANN PASTEL DG 500GR
7707144;S;7898924084021;UN;MASSA BAUERMANN PASTEL DM 250GR
7707145;S;7891024038536;UN;SABONETE PROTEX LIMP PROFUNDA/ANT 85g
7707146;S;7898924084045;UN;MASSA BAUERMANN PASTEL/LASANHA 500GR
7707147;S;7898924084076;UN;MASSA BAUERMANN FOLHADA 500GR
7707148;S;0000001007893;UN;BISCOITO AIMORE DAHORA SALG PICANHA125GR
7707157;S;7791293035161;UN;DESOD AXE AP YOU AERO 90g
7707164;S;7891097000782;UN;IOG BATAVO PEDACOS PESSE PENSE ZERO 100G
7707170;S;7891991014830;UN;CERVEJA POLAR LITRINHO 300ML
7707171;S;7891991011808;UN;ENERGETICO FUSION 1L
7707172;S;7896348844184;UN;IOG PIA ZERO LACTOSE ADOCADO 150G
7707173;S;7896348844320;UN;IOG PIA CREMOSO COCO SC 900ML
7707174;S;7896610900945;UN;SALSICHA EXCELSIOR HOT DOG 400GR
7707193;S;5601259002040;UN;COPO BUDWEISER 400ML
7707195;S;7898175500028;UN;FEIJAO RAJADO SERRA URUGUAI 1KG
7707197;S;7894904008018;UN;BANHA SEARA 1KG
7707198;S;7898436143346;UN;LIMPA FORNO E MICRO ONDAS DOMLINE 300ML
7707199;S;7899674000187;UN;BRILHO INOX DOMLINE 300ML
7707200;S;7898436150719;UN;PURIFIC AR DOMLINE AP+REF BAMBOO 12M
7707211;S;7791540049569;UN;VINHO SALTON CLASSIC SYR/SANG/MERL750ML
7707216;S;7500435106658;UN;FRALDA PAMPERS CONFORT SEC MEGA XXG 30UN
7707218;S;7500435106634;UN;FRALDA PAMPERS CONFORT SEC MEGA G 38UN
7707223;S;7896419725633;UN;LINGUICA LAR MISTA CONG 1KG
7707226;S;7896419725459;UN;FGO ISCAS LAR 700GR
7707244;S;7791293034997;UN;DESOD SUAVE MEN INT PROTECAO 87G
7707249;S;7891150055704;UN;SHAMPOO CLEAR FLOR DE CEREJEIRA 200ML
7707253;S;7899767440111;UN;BRINQ KIDIVERTIDO REF 499
7707259;S;7899767440234;UN;BRINQ KIDIVERTIDO REF 1699
7707263;S;7899767440289;UN;BRINQ KIDIVERTIDO REF 2499
7707271;S;7896756804671;UN;VINHO MIOLO CAMP GAU CHENIN BLA/MO 750ML
7707275;S;7891150060272;UN;SABONETE LUX SUAVE FLOR DE VERBENA 125GR
7707300;S;7891150061385;UN;CONJ TRESEME SH COND TRESPLEX 600ML
7707307;S;7891024035504;UN;SABONETE PROTEX AVEIA C/6 85G
7707311;S;7891150050594;UN;CONJ SEDA SH COND HID ANTI NOS 325ML
